artist,acousticness,danceability,duration,energy,instrumentalness,liveness,loudness,mode,song key,speechiness,tempo,time signature,valence,compound,positive,negative,neutral
Christina Aguilera,0.4065,0.446,242260,0.7465,0.000178025,0.333,-2.6115,0,4.5,0.11425,132.546,4,0.2746,-0.0074,0.1555,0.1545,0.6905
Christina Perri,0.309,0.421,285120,0.407,0.000961,0.11,-7.445,1,10,0.0267,139.028,3,0.161,0.9956,0.273,0.06,0.666
Christy Moore,0.72475,0.547375,223926.75,0.3616625,0.04200915,0.64675,-14.243375,0.625,6.5,0.051025,104.7515,3.375,0.462125,0.3965,0.12125,0.0905,0.788375
Chuck Berry,0.71075,0.61575,177165,0.708375,0.019531088,0.193425,-9.943125,1,6.5,0.0936375,128.983125,4,0.87175,0.5055125,0.098375,0.036125,0.8655
Cinderella,0.2959375,0.452125,250682.625,0.602375,0.002973925,0.177225,-11.371375,0.875,8.125,0.034275,111.84375,4,0.43775,0.7734375,0.191,0.089125,0.719875
Clash,0.044169667,0.423333333,179751,0.798333333,0.263866667,0.259666667,-7.904666667,0.666666667,3.333333333,0.048166667,147.1143333,4,0.661333333,-0.140066667,0.083333333,0.125333333,0.791
Cliff Richard,0.0792,0.71,214576,0.792,3.32E-05,0.0871,-5.996,1,0,0.0453,116.687,4,0.858,-0.9952,0.092,0.246,0.662
Coldplay,0.218903125,0.4813125,271405.75,0.6070625,0.049886056,0.15255625,-7.3413125,0.5,5.6875,0.03295625,129.9453125,3.9375,0.2734375,-0.08528125,0.0981875,0.08825,0.8135
Cole Porter,0.756,0.595,200206.5,0.356,0.01965,0.08235,-12.124,0.5,5,0.04145,129.2145,4,0.4975,0.49135,0.237,0.058,0.705
Conway Twitty,0.5895,0.612,215533.5,0.2905,1.32E-05,0.1365,-14.317,1,3,0.0498,117.662,4,0.4015,0.96315,0.183,0.0735,0.7435
Counting Crows,0.300649412,0.539235294,252470.5294,0.677588235,0.009463822,0.172794118,-6.799411765,1,4.470588235,0.039752941,119.7046471,4.058823529,0.597317647,0.770364706,0.185058824,0.059529412,0.755823529
Creedence Clearwater Revival,0.093985,0.634,181363.3333,0.6975,0.089199416,0.122625,-7.939833333,0.916666667,4.083333333,0.032925,120.4451667,4,0.758416667,-0.015358333,0.101833333,0.097333333,0.800583333
Crowded House,0.141135789,0.511,209155.9474,0.630684211,0.000670806,0.115310526,-11.05242105,0.947368421,5.421052632,0.038073684,103.5945789,4,0.615368421,-0.154610526,0.075631579,0.099736842,0.824736842
Culture Club,0.2289,0.7243,229970.4,0.6243,0.0274,0.2201,-11.8658,0.6,7.6,0.04697,103.7475,4,0.776,0.14436,0.1735,0.1065,0.7195
Cyndi Lauper,0.381388,0.6673,241952.2,0.5774,0.000179584,0.16561,-9.7643,0.8,3.3,0.03293,134.8049,4,0.5335,0.01719,0.136,0.0783,0.7858
Dan Fogelberg,0.527866667,0.462444444,258441.4444,0.337522222,0.000324411,0.172544444,-15.02766667,0.888888889,3,0.0288,111.561,3.888888889,0.415444444,0.907111111,0.173333333,0.072555556,0.754
Dave Matthews Band,0.0329,0.5215,256593.5,0.793,9.95E-06,0.12235,-5.309,1,5.5,0.03275,141.676,4,0.5265,-0.9739,0.1035,0.1965,0.7
David Allan Coe,0.417875,0.56625,183633.5,0.395,1.06E-06,0.1994125,-10.720625,1,5.5,0.0380875,122.9505,3.75,0.602625,0.3082625,0.146125,0.080125,0.773875
David Pomeranz,0.543857143,0.467714286,242670.5714,0.293714286,3.71E-06,0.135257143,-10.17014286,1,3.142857143,0.028642857,97.77371429,3.857142857,0.181714286,0.927185714,0.155714286,0.044,0.800428571
Dean Martin,0.72125,0.53925,153673.25,0.34675,0,0.2195,-10.9665,0.25,6.5,0.061725,115.84375,4,0.54525,0.865825,0.175,0.031,0.79425
Deep Purple,0.13300704,0.510733333,328082.6667,0.6542,0.253514887,0.170073333,-11.09,0.6,6.533333333,0.043373333,122.434,4,0.585933333,0.41924,0.138,0.077933333,0.783733333
Def Leppard,0.0079743,0.5326,304874.1,0.8584,0.060086094,0.38376,-6.3744,0.5,6.9,0.05098,106.8256,4,0.5027,0.5802,0.1858,0.0957,0.7181
Demi Lovato,0.237115,0.54825,212786.625,0.645875,2.00E-05,0.1152,-5.016125,0.625,7.875,0.064325,119.58225,3.875,0.45625,0.0224625,0.136875,0.116125,0.747125
Depeche Mode,0.168633333,0.619666667,218302.3333,0.757333333,0.135566667,0.143033333,-8.596666667,0.666666667,4,0.0347,104.7973333,4,0.675666667,0.308266667,0.122333333,0.199666667,0.677666667
Devo,0.223563,0.675,197317.3,0.6664,0.22422572,0.14262,-11.5926,0.9,4.1,0.04873,145.7995,3.9,0.7389,0.74942,0.1836,0.0684,0.7482
Dewa 19,0.29072025,0.50625,263681,0.663,0.000171768,0.17125,-6.923,0.75,5,0.041025,157.07875,3.75,0.5845,0,0,0,1
Diana Ross,0.3083,0.5963,264231.9,0.5981,0.0752946,0.2133,-9.2215,0.9,6.3,0.03951,104.8038,4,0.5523,0.71016,0.2581,0.0724,0.6695
Dire Straits,0.328535,0.6483,352349.15,0.59845,0.173273215,0.13118,-11.16305,0.65,5.8,0.04325,127.64585,4,0.64475,0.249965,0.11215,0.08525,0.8025
Dolly Parton,0.934,0.661,158853,0.265,0.00707,0.12,-14.42,1,2,0.0465,121.058,4,0.831,0.9961,0.288,0.032,0.679
Don Henley,0.249258333,0.63025,308029.9167,0.601833333,0.0008261,0.128141667,-8.780333333,0.75,6.25,0.030158333,107.344,4,0.579075,0.611266667,0.127416667,0.07825,0.794166667
Don McLean,0.696285714,0.438571429,203352.2143,0.289071429,0.047867131,0.226742857,-15.75007143,0.785714286,6.142857143,0.032957143,108.8145714,3.857142857,0.467785714,0.275285714,0.153285714,0.125285714,0.7215
Don Moen,0.569,0.4695,266449.1667,0.3885,0.000362357,0.352666667,-10.01616667,1,4.833333333,0.027183333,89.14433333,4,0.235333333,0.993733333,0.254166667,0.037166667,0.7085
Donna Summer,0.09113,0.742363636,368787,0.629636364,0.080454382,0.147845455,-12.92381818,0.636363636,4.181818182,0.043818182,123.2993636,4,0.783818182,0.725772727,0.258363636,0.063272727,0.678363636
Doobie Brothers,0.2742,0.6787,215926.6,0.5411,8.09E-05,0.08003,-12.8849,0.6,3.6,0.03632,125.9773,3.9,0.9071,0.43419,0.1247,0.0597,0.8159
Doors,0.377033333,0.511222222,299508.1111,0.578111111,0.003512406,0.126711111,-8.420666667,0.555555556,5.666666667,0.037077778,125.035,4,0.615577778,0.101133333,0.139666667,0.165,0.695333333
Doris Day,0.91,0.226,205893,0.108,3.04E-05,0.145,-13.352,1,5,0.0368,81.874,4,0.141,0.971,0.173,0,0.827
Dream Theater,0.00178359,0.4414,533714.5,0.8886,0.03902416,0.21537,-6.7911,0.5,5.9,0.08325,135.9018,4,0.30853,-0.10983,0.0854,0.1598,0.7546
Dusty Springfield,0.443666667,0.426,172977.8333,0.5235,1.97E-07,0.14315,-9.7085,0.666666667,8.333333333,0.035683333,111.6811667,3.666666667,0.538833333,-0.137683333,0.118333333,0.120166667,0.761333333
